"","Country","Year","GDP","Corporate income tax rate","Taxes_on_income_prof_k_corp_tax_rev_gdp","Taxes_on_income_prof_corp_tax_rev_gdp","Unemployment rate","Unemployment rate men","Unemployment rate women","Gini","Pre_tax_national_income_Top_10%","Net_personal_wealth_Top_10%","Inflation","Interest_Rate","Net_operating_surplus_mix_income","CAPN","CAPN_ICT","CPNK","CPNK_ICT","Wages_LC","Wages_LC_C","Wages_PPP","Growth"
"54","Belgium","2009",474686.213,33,2.34,2.34,"7.9075683622991724","7.7446861784259342","8.1054949355850265",28.6,0.3094,0.5243,-0.0531456741253762,0.3546,63799.7,1051182,22831.4,1131154.3,22943.1,38664.4823310442,46693.9564786169,56960.7291900123,-2.02074308978538
"55","Belgium","2010",488282.616,33,2.547,2.547,"8.2924609794033888","8.1072956713590969","8.5155494645583971",28.4,0.3135,0.5266,2.18929920422458,0.4981,73184.3,1084613,23848.4,1143241.5,23919.2,39208.304777495,46477.7710199525,56697.0102359022,2.86429279545981
"56","Belgium","2011",496556.632,33,2.838,2.838,"7.1396157697438456","7.1061372641157403","7.1798419195769432",28.1,0.3114,0.5227,3.53208210722744,0.627,73755.1,1126726,24827.1,1158531.5,24918,40739.8634497882,46953.9296330603,57277.8636023361,1.6945137362826
"57","Belgium","2012",500227.265,33,3.01,3.01,"7.541698831359124","7.6516165373319511","7.4096299125059968",27.5,0.3138,0.5106,2.83966343445897,0.0734,72360.8,1162411,25735.6,1171917.9,25692.2,41897.4877463494,47333.510875638,57740.9047749979,0.739217395046298
"58","Belgium","2013",502524.519,33,3.103,3.103,"8.4253131292934942","8.6404305724205592","8.1705452657535975",27.7,0.3163,0.505,1.11309594027537,0.1686,73956.2,1178795,26540.9,1182384.9,26594.3,42762.725168663,47802.3313012099,58312.8064794932,0.459242060706139
"59","Belgium","2014",510457.036,33,3.123,3.123,"8.5226981193087745","9.0202534557770466","7.9411276673959224",28.1,0.3187,0.5088,0.340002833356965,-0.0301,79910.5,1196054,27643,1196028.2,27829.4,43322.696959492,48068.2471395598,58637.190215588,1.57853332525652
"60","Belgium","2015",520877.807,33,3.274,3.274,"8.481970753837496","9.0934690731817671","7.7691880281421417",27.7,0.3183,0.5166,0.561429152790106,-0.199,89402.7,1211583,28793,1211583,28793,43398.2213769181,47742.3075892345,58239.5851322215,2.04145897990912
"61","Belgium","2016",527475.695,33,3.404,3.404,"7.8296566837997572","8.0596236277111277","7.5608745263554891",27.6,0.3212,0.5181,1.97385264653172,-0.3504,94551.6,1237054,29914.4,1231022.8,29912,44153.3780290221,47844.8889186888,58364.7213975469,1.26668633436325
"62","Belgium","2017",536018.587,33,4.066,4.066,"7.086182659662235","7.1138038407815962","7.0539811261526433",27.4,0.3183,0.5211,2.12597086002609,-0.3423,97997.4,1288686,31631.3,1250736.7,31456,44684.3918828603,47510.471963239,57956.7749506732,1.61958021591878
"63","Belgium","2018",545902.232,29,4.298,4.298,"5.9482386121506297","6.2828973901652958","5.5644122362728368",27.2,0.3283,0.5211,2.05316499865181,-0.3605,101255.5,1343798,32698,1271769.5,32984.4,45827.2799186211,47767.3313873786,58270.1110053084,1.8438996780535
"64","Belgium","2019",557429.131,29,3.723,3.723,"5.3597347134613376","5.7300048214919208","4.9365992855049843",27.2,0.3295,0.5218,1.43681956996435,-0.4562,106456.2,1402269,33960.9,1295435.5,34323.2,46904.4513270427,48236.0787783295,58841.9236167908,2.11153175867581
"65","Belgium","2020",525763.067,25,NA,NA,"5.5547161996645213","5.7265691082591639","5.358330410623088",NA,0.3274,0.5209,0.740791812220385,-0.4725,NA,NA,NA,NA,NA,45937.5088303029,46948.8949268888,57271.7218967191,-5.68073361060135
"66","Belgium","2021",558595.508,25,NA,NA,"6.2644552668752311","6.6166570969051559","5.8631640367379401",NA,0.3276,0.5219,2.44024851144081,-0.4922,NA,NA,NA,NA,NA,48447.7870245435,48447.7870245435,59100.1809372088,6.24472182638116
